name,region_id
ILOCOS NORTE,2
ILOCOS SUR,2
LA UNION,2
PANGASINAN,2
BATANES,3
CAGAYAN,3
ISABELA,3
NUEVA VIZCAYA,3
QUIRINO,3
BATAAN,4
BULACAN,4
NUEVA ECIJA,4
PAMPANGA,4
TARLAC,4
ZAMBALES,4
AURORA,4
BATANGAS,5
CAVITE,5
LAGUNA,5
QUEZON,5
RIZAL,5
MARINDUQUE,6
OCCIDENTAL MINDORO,6
ORIENTAL MINDORO,6
PALAWAN,6
ROMBLON,6
ALBAY,7
CAMARINES NORTE,7
CAMARINES SUR,7
CATANDUANES,7
MASBATE,7
SORSOGON,7
AKLAN,8
ANTIQUE,8
CAPIZ,8
ILOILO,8
GUIMARAS,8
BOHOL,9
CEBU,9
SIQUIJOR,9
EASTERN SAMAR,10
LEYTE,10
NORTHERN SAMAR,10
SAMAR (WESTERN SAMAR),10
SOUTHERN LEYTE,10
BILIRAN,10
ZAMBOANGA DEL NORTE,11
ZAMBOANGA DEL SUR,11
ZAMBOANGA CITY,11
ZAMBOANGA SIBUGAY,11
CITY OF ISABELA (Not a Provinc,11
BUKIDNON,12
CAMIGUIN,12
LANAO DEL NORTE,12
MISAMIS OCCIDENTAL,12
MISAMIS ORIENTAL,12
DAVAO DEL NORTE,13
DAVAO DEL SUR,13
DAVAO CITY,13
DAVAO ORIENTAL,13
COMPOSTELA VALLEY,13
DAVAO OCCIDENTAL,13
COTABATO (NORTH COTABATO),14
SOUTH COTABATO,14
GENERAL SANTOS CITY,14
SULTAN KUDARAT,14
SARANGANI,14
COTABATO CITY (Not a Province),15
"""NCR, CITY OF MANILA, FIRST DI",15
"""NCR, SECOND DISTRICT (Not a P",15
"""NCR, THIRD DISTRICT (Not a Pr",15
"""NCR, FOURTH DISTRICT (Not a P",15
ABRA,16
BENGUET,16
IFUGAO,16
KALINGA,16
MOUNTAIN PROVINCE,16
APAYAO,16
BASILAN,17
LANAO DEL SUR,17
MAGUINDANAO,17
SULU,17
TAWI-TAWI,17
AGUSAN DEL NORTE,18
AGUSAN DEL SUR,18
SURIGAO DEL NORTE,18
SURIGAO DEL SUR,18
DINAGAT ISLANDS,18
NEGROS OCCIDENTAL,8
NEGROS ORIENTAL,9
